,Nom du commerce,﻿Catégorie,Adresse,Numéro,Code postal,Localité,Site internet,Géo Point,lun_mat_ouv,lun_mat_ferm,lun_soir_ouv,lun_soir_ferm,mar_mat_ouv,mar_soir_ferm,mer_mat_ouv,mer_mat_ferm,mer_soir_ouv,mer_soir_ferm,jeu_mat_ouv,jeu_mat_ferm,ven_mat_ouv,ven_mat_ferm,ven_soir_ouv,ven_soir_ferm,sam_mat_ouv,sam_mat_ferm,sam_soir_ouv,sam_soir_ferm,dim_mat_ouv,dim_mat_ferm,dim_soir_ferm
23,Assurances ARTEBIA S.A.,Assurances,Place Henri Hallet,8,4280,Hannut,,"50.671569391,5.078932884",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
24,Ethias,Assurances,Route de Tirlemont,2,4280,Hannut,,"50.677510762,5.071320872",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
25,Van Der Linden,Assurances,Rue Albert 1er,13,4280,Hannut,,"50.670079416,5.081582015",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
26,Atelier du Verbe,Audiovisuel - Réalisations,Rue Neuve,9,4280,Poucet,,"50.676579391,5.110205663",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
27,Inspection Automobile,Automobile - Inspection,Rue des Moissons,1,4280,Hannut,,"50.681915915,5.061042408",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
28,Cabinet d'avocats Jamar,Avocats,Rue Albert 1er,105,4280,Hannut,,"50.670079416,5.081582015",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
29,Maître B. Stevart,Avocats,Rue Vasset,2 C,4280,Hannut,,"50.672232641,5.078641375",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
30,Fintro - Assurbema,Banque / Crédit,Grand Place,6,4280,Hannut,,"50.672649414,5.077863186",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
31,Beo Bank,Banque / Crédit,Route de Tirlemont,11,4280,Hannut,,"50.677510762,5.071320872",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
32,Tasquita Luna,Bar à tapas et épicerie fine espagnole,Rue Zénobe Gramme,36B,4280,Hannut,,"50.671341164,5.075842323",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
33,Royer P,Boucherie & Charcuterie,Rue François Garot,2,4280,Grand-Hallet,,"50.694859682,5.032649044",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
34,La Pause Plaisir,Boulangerie - Pâtisserie,Rue Albert 1er,3,4280,Hannut,,"50.670079416,5.081582015",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
35,Walgraffe,Boulangerie - Pâtisserie,Rue Albert 1er,55,4280,Hannut,,"50.670079416,5.081582015",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
36,Café de Paris,Café - Bar - Brasserie,Grand Place,15,4280,Hannut,,"50.672649414,5.077863186",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
37,La capsulerie,Café - Bar - Brasserie,Route de Tirlemont,7,4280,Hannut,,"50.677510762,5.071320872",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
38,"Café ""La Solive""",Café - Bar - Brasserie,Rue des Vieux Remparts,3,4280,Hannut,,"50.673476735,5.077765089",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
39,Eurobelgium Cascades,Cascadeurs,Rue Mayeur J. debras,1,4280,Grand-Hallet,,"50.694155943,5.037648399",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
40,Autokrant – Auto loisir,Centre automobile,Route de Landen,57,4280,Hannut,,"50.696380041,5.081903394",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
41,Maison de la Laïcité asbl,Centre communautaire,Rue Albert 1er,112,4280,Hannut,,"50.670079416,5.081582015",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
42,Nutrition consult sprl,Centre médical,Rue Albert 1er,107,4280,Hannut,,"50.670079416,5.081582015",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
43,Centre ADN,Centre médical,Route de Tirlemont,33,4280,Hannut,,"50.677510762,5.071320872",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
44,Michel Tonnoir,Château gonflable (location),Rue du Canivet,9b,4280,Avin,,"50.623112232,5.07535348",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
45,Luxus,Chaussures,Route de Landen,53 A,4280,Hannut,,"50.696380041,5.081903394",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
46,L'Ecuyer du Bélian,Chevaux - Manèges & centre équestre,Rue de la Montagne,5,4280,Bertrée,,"50.701453513,5.091700504",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
47,Le Haras du Rivage,Chevaux - Manèges & centre équestre,Rue Isidore Fumal,16,4280,Cras-Avernas,,"50.696224182,5.117659793",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
48,Léonidas,Chocolateries - Confiseries - dét.,Place Henri Hallet,7,4280,Hannut,,"50.671569391,5.078932884",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
49,Mégamana,Coiffure - Salon,Rue de la Forge,2,4280,Avin,,"50.61480603,5.07287861",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
50,Métamorphose,Coiffure - Salon,Route de Tirlemont,17,4280,Hannut,,"50.677510762,5.071320872",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
51,La Suite VIP,Coiffure - Salon,Rue Albert 1er,49,4280,Hannut,,"50.670079416,5.081582015",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
52,New Men,Coiffure - Salon,Rue Albert 1er,66,4280,Hannut,,"50.670079416,5.081582015",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
53,Nouvel'Hair,Coiffure - Salon,Rue Albert 1er,89,4280,Hannut,,"50.670079416,5.081582015",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
54,Bella Beauté,Coiffure - Salon,Rue Zénobe Gramme,11,4280,Hannut,,"50.671341164,5.075842323",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
55,Vintage,Coiffure - Salon,Route de Tirlemont,21,4280,Hannut,,"50.677510762,5.071320872",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
56,Nadine,Coiffure - Salon,Route de Wavre,153,4280,Thisnes,,"50.670537318,5.043941939",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
57,New Look System 4,Coiffure/Barbier - salon,Rue Albert Ier,35,4280,Hannut,,"50.670079416,5.081582015",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
58,Sinobelux,Comptable et/ou fiscalité,Route de Tirlemont,151 D,4280,Hannut,,"50.677510762,5.071320872",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
59,I.J. De Vlamynck,Comptable et/ou fiscalité,Rue du Château,1 & 3,4280,Hannut,,"50.6636503,5.12491044",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
60,Fiduciaire du Geer,Comptable et/ou fiscalité,Rue du Centenaire,21,4280,Lens-Saint-Remy,,"50.654766277,5.121897961",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
61,Deprez Pascal,Comptable et/ou fiscalité,Rue du Monument,1,4280,Lens-Saint-Remy,,"50.6542525,5.133144762",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
62,Stoppage Larock,Couture - retouches,Rue du Bosquet,6,4280,Poucet,,"50.683086366,5.107583731",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
63,Joannes Arielle,Crèches - Garderies d'enfants,Rue Louis Snyers,1 bte A,4280,Hannut,,"50.669648492,5.084784683",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
64,Reynolds Anita,Crèches - Garderies d'enfants,Rue de la Marsalle,23,4280,Merdorp,,"50.64152869,4.998800656",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
65,Muselle Pierre,Cycles,Rue de l'Europe,13,4280,Hannut,,"50.677996994,5.085730975",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
66,Déco-Envie.com,Décorateur - Intérieur et/ou Extérieure,Rue Joseph Siane,1C,4280,Lens-Saint-Remy,,"50.658858217,5.116934324",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
67,Cabinet dentaire Duomat - Mathonet,Dentiste,Rue Albert 1er,89 A,4280,Hannut,,"50.670079416,5.081582015",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
68,Royer Cécile,Diéteticien et/ou nutritionniste,Rue de la Forge,1,4280,Avin,,"50.61480603,5.07287861",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
69,Action,Discount,Rue de Huy,63 bte 6,4280,Hannut,,"50.664769864,5.091593435",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
70,Dr Keiser Sandra,Docteur en médecine,Rue Grammia,3,4280,Abolens,,"50.671873811,5.154462678",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
71,Dr Miseur,Docteur en médecine,Rue Désiré Streel,22,4280,Avernas-le-Bauduin,,"50.693717017,5.136945772",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
72,Huberlant B. + Dr Bawin,Docteur en médecine,Avenue Paul Brien,30,4280,Hannut,,"50.675091008,5.065180745",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
73,Dr Cartilier Phillippe,Docteur en médecine,Route de Tirlemont,55,4280,Hannut,,"50.677510762,5.071320872",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
74,Becker Jacques,Ebénisterie,Avenue des fleurs,14,4280,Hannut,,"50.680432309,5.084757762",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
75,Fillieux - Electrotec,Electricité,Rue Grammia,6a,4280,Abolens,,"50.671873811,5.154462678",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
76,Poncelet G,Electricité,Rue Hubert Larock,7,4280,Poucet,,"50.67670088,5.117276147",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
77,EGP Electricité,Electricité,Route de Wavre,109a,4280,Thisnes,,"50.670537318,5.043941939",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
78,TIKElec,Electricité,Route de Wavre,105a,4280,Thisnes,,"50.670537318,5.043941939",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
79,Krëfel,Electroménagers - Appareil - dét.,Route de Landen,57 A,4280,Hannut,,"50.696380041,5.081903394",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
80,Institut Saint Cœur de Marie,Enseignement Primaire,Rue de l'Aîte,1,4280,Hannut,,"50.671415043,5.077180059",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
81,Entreprise Motte Yves,Entrepreneurs en bâtiments et/ou rénovations,Rue Croix Lacave,4,4280,Avernas-le-Bauduin,,"50.686321677,5.077510215",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
82,Gabriel Sa,Entrepreneurs en bâtiments et/ou rénovations,Rue Albert 1er,20,4280,Hannut,,"50.670079416,5.081582015",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
83,Bernard Père et Fils,Entrepreneurs en bâtiments et/ou rénovations,Rue Georges Touret,15,4280,Lens-Saint-Remy,,"50.660731238,5.135366159",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
84,MTC Consult,Études de marché,Rue des Artisans,7 B,4280,Hannut,,"50.678394396,5.089498135",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
85,Gemaplast,Fabrication de produits en matière plastique,Rue Joseph wauters,21,4280,Hannut,,"50.671440816,5.088310975",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
86,Pierson J.C,Ferronnerie,Rue d'Orp,12,4280,Grand-Hallet,,"50.693510994,5.045274094",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
87,Puerto,Ferronnerie,Rue du Chiroux,16a,4280,Thisnes,,"50.66787609,5.045869023",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
88,Les Jardins de Wanet (bio),Fruits & légumes (culture de),Rue Tige Jacquette,5+,4280,Avin,,"50.619450001,5.078056125",10.0,15.0,18.0,23.0,17.3,23.3,10.0,14.3,18.5,22.3,17.0,23.0,ferme,14.0,19.0,24.0,10.0,15.0,19.0,24.0,ferme,15.0,ferme
